[2026-07-20 00:15:49,154] 16 root-INFO-initiate the data ingestion
[2026-07-20 00:16:02,374] 55 root-INFO-performed train test split
[2026-07-20 00:16:02,374] 56 root-INFO-exited split_daata_train_test method of Data_ingestion
[2026-07-20 00:16:02,374] 59 root-INFO-exporting traintest file path
[2026-07-20 00:16:02,653] 29 root-INFO-required no of columns :2
[2026-07-20 00:16:02,653] 30 root-INFO-dataframse has columns: 31
[2026-07-20 00:16:02,653] 29 root-INFO-required no of columns :2
[2026-07-20 00:16:02,653] 30 root-INFO-dataframse has columns: 31
[2026-07-20 00:16:02,909] 23 root-INFO-data transformation config
[2026-07-20 00:16:02,909] 49 root-INFO-entered initiate_data_transformation
[2026-07-20 00:16:03,075] 37 root-INFO-enered get_data_transfromated clas
[2026-07-20 00:16:03,076] 40 root-INFO-initailize KNN computer{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-20 00:16:03,133] 39 root-INFO-entered the save_object method
[2026-07-20 00:16:03,138] 43 root-INFO-exited the save_object method
[2026-07-20 00:16:03,140] 28 root-INFO-data validation complete
[2026-07-20 00:16:03,140] 30 root-INFO-model traininig started
