[2026-07-19 17:07:58,791] 15 root-INFO-initiate the data ingestion
[2026-07-19 17:08:13,391] 55 root-INFO-performed train test split
[2026-07-19 17:08:13,392] 56 root-INFO-exited split_daata_train_test method of Data_ingestion
[2026-07-19 17:08:13,392] 59 root-INFO-exporting traintest file path
[2026-07-19 17:08:13,703] 29 root-INFO-required no of columns :2
[2026-07-19 17:08:13,704] 30 root-INFO-dataframse has columns: 31
[2026-07-19 17:08:13,704] 29 root-INFO-required no of columns :2
[2026-07-19 17:08:13,704] 30 root-INFO-dataframse has columns: 31
[2026-07-19 17:08:14,004] 22 root-INFO-data transformation config
[2026-07-19 17:08:14,005] 49 root-INFO-entered initiate_data_transformation
[2026-07-19 17:08:14,197] 37 root-INFO-enered get_data_transfromated clas
[2026-07-19 17:08:14,197] 40 root-INFO-initailize KNN computer{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-19 17:08:14,281] 37 root-INFO-entered the save_object method
[2026-07-19 17:08:14,288] 41 root-INFO-exited the save_object method
[2026-07-19 17:08:14,292] 27 root-INFO-data validation complete
