[2026-07-19 17:02:13,894] 15 root-INFO-initiate the data ingestion
[2026-07-19 17:02:46,592] 55 root-INFO-performed train test split
[2026-07-19 17:02:46,593] 56 root-INFO-exited split_daata_train_test method of Data_ingestion
[2026-07-19 17:02:46,593] 59 root-INFO-exporting traintest file path
[2026-07-19 17:02:47,053] 29 root-INFO-required no of columns :2
[2026-07-19 17:02:47,054] 30 root-INFO-dataframse has columns: 31
[2026-07-19 17:02:47,054] 29 root-INFO-required no of columns :2
[2026-07-19 17:02:47,054] 30 root-INFO-dataframse has columns: 31
[2026-07-19 17:02:47,294] 22 root-INFO-data transformation config
[2026-07-19 17:02:47,294] 49 root-INFO-entered initiate_data_transformation
[2026-07-19 17:02:47,548] 37 root-INFO-enered get_data_transfromated clas
[2026-07-19 17:02:47,549] 40 root-INFO-initailize KNN computer{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
